id;name;geoid;geoname;value;datetime
10027;Demanda programada P48 total;;;29644.45;2023-01-04T11:00:00+01:00
10027;Demanda programada P48 total;;;29281;2023-01-04T12:00:00+01:00
10027;Demanda programada P48 total;;;29253.8;2023-01-04T13:00:00+01:00
10027;Demanda programada P48 total;;;29050.65;2023-01-04T14:00:00+01:00
10027;Demanda programada P48 total;;;28251.2;2023-01-04T15:00:00+01:00
10027;Demanda programada P48 total;;;27851.7;2023-01-04T16:00:00+01:00
10027;Demanda programada P48 total;;;28771.1;2023-01-04T17:00:00+01:00
10027;Demanda programada P48 total;;;30544.8;2023-01-04T18:00:00+01:00
10027;Demanda programada P48 total;;;31227.8;2023-01-04T19:00:00+01:00
10027;Demanda programada P48 total;;;31651.5;2023-01-04T20:00:00+01:00
10027;Demanda programada P48 total;;;31223.6;2023-01-04T21:00:00+01:00
10027;Demanda programada P48 total;;;28604.667;2023-01-04T22:00:00+01:00
10027;Demanda programada P48 total;;;25707.533;2023-01-04T23:00:00+01:00
10027;Demanda programada P48 total;;;23926.2;2023-01-05T00:00:00+01:00
10027;Demanda programada P48 total;;;22407.4;2023-01-05T01:00:00+01:00
10027;Demanda programada P48 total;;;21263.1;2023-01-05T02:00:00+01:00
10027;Demanda programada P48 total;;;20643.6;2023-01-05T03:00:00+01:00
10027;Demanda programada P48 total;;;20551.6;2023-01-05T04:00:00+01:00
10027;Demanda programada P48 total;;;21476.3;2023-01-05T05:00:00+01:00
10027;Demanda programada P48 total;;;23649.6;2023-01-05T06:00:00+01:00
10027;Demanda programada P48 total;;;26507.5;2023-01-05T07:00:00+01:00
10027;Demanda programada P48 total;;;28778;2023-01-05T08:00:00+01:00
10027;Demanda programada P48 total;;;30117;2023-01-05T09:00:00+01:00
10027;Demanda programada P48 total;;;30207.3;2023-01-05T10:00:00+01:00
10027;Demanda programada P48 total;;;29546.9;2023-01-05T11:00:00+01:00
10027;Demanda programada P48 total;;;28919.3;2023-01-05T12:00:00+01:00
10027;Demanda programada P48 total;;;28719.9;2023-01-05T13:00:00+01:00
10027;Demanda programada P48 total;;;28198.375;2023-01-05T14:00:00+01:00
10027;Demanda programada P48 total;;;27203.4;2023-01-05T15:00:00+01:00
10027;Demanda programada P48 total;;;27189.45;2023-01-05T16:00:00+01:00
10027;Demanda programada P48 total;;;27295.75;2023-01-05T17:00:00+01:00
10027;Demanda programada P48 total;;;28297.5;2023-01-05T18:00:00+01:00
10027;Demanda programada P48 total;;;28454.1;2023-01-05T19:00:00+01:00
10027;Demanda programada P48 total;;;28759.1;2023-01-05T20:00:00+01:00
10027;Demanda programada P48 total;;;28510.75;2023-01-05T21:00:00+01:00
10027;Demanda programada P48 total;;;26244.067;2023-01-05T22:00:00+01:00
10027;Demanda programada P48 total;;;24634.55;2023-01-05T23:00:00+01:00
10027;Demanda programada P48 total;;;22584.5;2023-01-06T00:00:00+01:00
10027;Demanda programada P48 total;;;21288.2;2023-01-06T01:00:00+01:00
10027;Demanda programada P48 total;;;19992.9;2023-01-06T02:00:00+01:00
10027;Demanda programada P48 total;;;19379.333;2023-01-06T03:00:00+01:00
10027;Demanda programada P48 total;;;18783;2023-01-06T04:00:00+01:00
10027;Demanda programada P48 total;;;18617.7;2023-01-06T05:00:00+01:00
10027;Demanda programada P48 total;;;19532.7;2023-01-06T06:00:00+01:00
10027;Demanda programada P48 total;;;20575.301;2023-01-06T07:00:00+01:00
10027;Demanda programada P48 total;;;20784.8;2023-01-06T08:00:00+01:00
10027;Demanda programada P48 total;;;22227.55;2023-01-06T09:00:00+01:00
10027;Demanda programada P48 total;;;23097.8;2023-01-06T10:00:00+01:00
10027;Demanda programada P48 total;;;23508.1;2023-01-06T11:00:00+01:00
10027;Demanda programada P48 total;;;23452.65;2023-01-06T12:00:00+01:00
10027;Demanda programada P48 total;;;23409.3;2023-01-06T13:00:00+01:00
10027;Demanda programada P48 total;;;23295.35;2023-01-06T14:00:00+01:00
10027;Demanda programada P48 total;;;21885.3;2023-01-06T15:00:00+01:00
10027;Demanda programada P48 total;;;21744.1;2023-01-06T16:00:00+01:00
10027;Demanda programada P48 total;;;22928.4;2023-01-06T17:00:00+01:00
10027;Demanda programada P48 total;;;25073.7;2023-01-06T18:00:00+01:00
10027;Demanda programada P48 total;;;26253.9;2023-01-06T19:00:00+01:00
10027;Demanda programada P48 total;;;26940.2;2023-01-06T20:00:00+01:00
10027;Demanda programada P48 total;;;27095;2023-01-06T21:00:00+01:00
10027;Demanda programada P48 total;;;25606.4;2023-01-06T22:00:00+01:00
10027;Demanda programada P48 total;;;23855.75;2023-01-06T23:00:00+01:00
10027;Demanda programada P48 total;;;22326.933;2023-01-07T00:00:00+01:00
10027;Demanda programada P48 total;;;20882.433;2023-01-07T01:00:00+01:00
10027;Demanda programada P48 total;;;19754.817;2023-01-07T02:00:00+01:00
10027;Demanda programada P48 total;;;19207.975;2023-01-07T03:00:00+01:00
10027;Demanda programada P48 total;;;18871.7;2023-01-07T04:00:00+01:00
10027;Demanda programada P48 total;;;19065.6;2023-01-07T05:00:00+01:00
10027;Demanda programada P48 total;;;20064.575;2023-01-07T06:00:00+01:00
10027;Demanda programada P48 total;;;21601.8;2023-01-07T07:00:00+01:00
10027;Demanda programada P48 total;;;23013.725;2023-01-07T08:00:00+01:00
10027;Demanda programada P48 total;;;24689.8;2023-01-07T09:00:00+01:00
10027;Demanda programada P48 total;;;25886.25;2023-01-07T10:00:00+01:00
10027;Demanda programada P48 total;;;26095;2023-01-07T11:00:00+01:00
10027;Demanda programada P48 total;;;26226.875;2023-01-07T12:00:00+01:00
10027;Demanda programada P48 total;;;26919.1;2023-01-07T13:00:00+01:00
10027;Demanda programada P48 total;;;27097.7;2023-01-07T14:00:00+01:00
10027;Demanda programada P48 total;;;26141.5;2023-01-07T15:00:00+01:00
10027;Demanda programada P48 total;;;25941.4;2023-01-07T16:00:00+01:00
10027;Demanda programada P48 total;;;26520.65;2023-01-07T17:00:00+01:00
10027;Demanda programada P48 total;;;28170.425;2023-01-07T18:00:00+01:00
10027;Demanda programada P48 total;;;28877.85;2023-01-07T19:00:00+01:00
10027;Demanda programada P48 total;;;29342.8;2023-01-07T20:00:00+01:00
10027;Demanda programada P48 total;;;29186.6;2023-01-07T21:00:00+01:00
10027;Demanda programada P48 total;;;26990.6;2023-01-07T22:00:00+01:00
10027;Demanda programada P48 total;;;24805.4;2023-01-07T23:00:00+01:00
10027;Demanda programada P48 total;;;23040.8;2023-01-08T00:00:00+01:00
10027;Demanda programada P48 total;;;21213.9;2023-01-08T01:00:00+01:00
10027;Demanda programada P48 total;;;19983.467;2023-01-08T02:00:00+01:00
10027;Demanda programada P48 total;;;19409.8;2023-01-08T03:00:00+01:00
10027;Demanda programada P48 total;;;19106.2;2023-01-08T04:00:00+01:00
10027;Demanda programada P48 total;;;19095.5;2023-01-08T05:00:00+01:00
10027;Demanda programada P48 total;;;19602.85;2023-01-08T06:00:00+01:00
10027;Demanda programada P48 total;;;20277.5;2023-01-08T07:00:00+01:00
10027;Demanda programada P48 total;;;20983.9;2023-01-08T08:00:00+01:00
10027;Demanda programada P48 total;;;22459.35;2023-01-08T09:00:00+01:00
10027;Demanda programada P48 total;;;24542.3;2023-01-08T10:00:00+01:00
10027;Demanda programada P48 total;;;25678.7;2023-01-08T11:00:00+01:00
10027;Demanda programada P48 total;;;26330.425;2023-01-08T12:00:00+01:00
10027;Demanda programada P48 total;;;27129.025;2023-01-08T13:00:00+01:00
10027;Demanda programada P48 total;;;27285.193;2023-01-08T14:00:00+01:00
10027;Demanda programada P48 total;;;26006.942;2023-01-08T15:00:00+01:00
10027;Demanda programada P48 total;;;25116.675;2023-01-08T16:00:00+01:00
10027;Demanda programada P48 total;;;25469.1;2023-01-08T17:00:00+01:00
10027;Demanda programada P48 total;;;27299.1;2023-01-08T18:00:00+01:00
10027;Demanda programada P48 total;;;28528.6;2023-01-08T19:00:00+01:00
10027;Demanda programada P48 total;;;29179.5;2023-01-08T20:00:00+01:00
10027;Demanda programada P48 total;;;28808.3;2023-01-08T21:00:00+01:00
10027;Demanda programada P48 total;;;26605.4;2023-01-08T22:00:00+01:00
10027;Demanda programada P48 total;;;24011;2023-01-08T23:00:00+01:00
10027;Demanda programada P48 total;;;22097.85;2023-01-09T00:00:00+01:00
10027;Demanda programada P48 total;;;20745.1;2023-01-09T01:00:00+01:00
10027;Demanda programada P48 total;;;19817.5;2023-01-09T02:00:00+01:00
10027;Demanda programada P48 total;;;19567.067;2023-01-09T03:00:00+01:00
10027;Demanda programada P48 total;;;19578.8;2023-01-09T04:00:00+01:00
10027;Demanda programada P48 total;;;20494.8;2023-01-09T05:00:00+01:00
10027;Demanda programada P48 total;;;23813.8;2023-01-09T06:00:00+01:00
10027;Demanda programada P48 total;;;28177;2023-01-09T07:00:00+01:00
10027;Demanda programada P48 total;;;30841;2023-01-09T08:00:00+01:00
10027;Demanda programada P48 total;;;31288.95;2023-01-09T09:00:00+01:00
10027;Demanda programada P48 total;;;31148.5;2023-01-09T10:00:00+01:00
10027;Demanda programada P48 total;;;30851.25;2023-01-09T11:00:00+01:00
10027;Demanda programada P48 total;;;30302.5;2023-01-09T12:00:00+01:00
10027;Demanda programada P48 total;;;30305.2;2023-01-09T13:00:00+01:00
10027;Demanda programada P48 total;;;29671.85;2023-01-09T14:00:00+01:00
10027;Demanda programada P48 total;;;29354.8;2023-01-09T15:00:00+01:00
10027;Demanda programada P48 total;;;29462.7;2023-01-09T16:00:00+01:00
10027;Demanda programada P48 total;;;30026.9;2023-01-09T17:00:00+01:00
10027;Demanda programada P48 total;;;31598.425;2023-01-09T18:00:00+01:00
10027;Demanda programada P48 total;;;32718.6;2023-01-09T19:00:00+01:00
10027;Demanda programada P48 total;;;33472;2023-01-09T20:00:00+01:00
10027;Demanda programada P48 total;;;32384;2023-01-09T21:00:00+01:00
10027;Demanda programada P48 total;;;29236.55;2023-01-09T22:00:00+01:00
10027;Demanda programada P48 total;;;26301.1;2023-01-09T23:00:00+01:00
10027;Demanda programada P48 total;;;24704.7;2023-01-10T00:00:00+01:00
10027;Demanda programada P48 total;;;22970.4;2023-01-10T01:00:00+01:00
10027;Demanda programada P48 total;;;21866.3;2023-01-10T02:00:00+01:00
10027;Demanda programada P48 total;;;21434.9;2023-01-10T03:00:00+01:00
10027;Demanda programada P48 total;;;21438.6;2023-01-10T04:00:00+01:00
10027;Demanda programada P48 total;;;22316.2;2023-01-10T05:00:00+01:00
10027;Demanda programada P48 total;;;25328;2023-01-10T06:00:00+01:00
10027;Demanda programada P48 total;;;29377.1;2023-01-10T07:00:00+01:00
10027;Demanda programada P48 total;;;31844.833;2023-01-10T08:00:00+01:00
10027;Demanda programada P48 total;;;32369.7;2023-01-10T09:00:00+01:00
10027;Demanda programada P48 total;;;32505.825;2023-01-10T10:00:00+01:00
10027;Demanda programada P48 total;;;31716.1;2023-01-10T11:00:00+01:00
10027;Demanda programada P48 total;;;31298.1;2023-01-10T12:00:00+01:00
10027;Demanda programada P48 total;;;30998.95;2023-01-10T13:00:00+01:00
